Name,ID,HomePlanet,BloodSample
 Bekele Prakash, 8385864, Censa III,  +--------+  |oopc ooc|  |oc i ici|  |p c   ic|  |p p co p|  |coc  i o|  |o cp pp |  +--------+
 Elisabeth Marquez, 9701897, Sedales II,  +--------+  |cc  ci p|  |p  cioii|  |ic iiicc|  |o pi pop|  | pioc o |  |i oc cpi|  +--------+
 Zhijian Fu, 6680610, Beta Tuchus II,  +--------+  |o opicp |  |c  io op|  | oi oc p|  |pc ppco |  |  oop cc|  |c i pppc|  +--------+
 Guohua Kobayashi, 3881291, Alpha Erisces,  +--------+  |c cp iip|  |occ i   |  |i po  o |  |ccoc  ii|  |p poo oi|  |  cc o o|  +--------+
 Yan Avila, 7201066, Beta Dela IV,  +--------+  |o coico |  | oio i c|  |iiiocooo|  |o iioi  |  |popi pic|  |p   ii c|  +--------+
 Aminata Hayat, 1904820, Alpha Orius,  +--------+  | p  ccoo|  |p       |  |o ooc oi|  |ccpppicp|  |c pipo i|  | o ioic |  +--------+
 Ida Fan, 5597603, Leonor,  +--------+  |cpopoc  |  |c c ooip|  |ociopcpp|  |pcpio   |  |pco   oo|  |pp ocp  |  +--------+
 Gerhard Mustafa, 5116639, Beta Aquula,  +--------+  |ppccpopi|  |  cppoci|  |  iiii  |  |i cpo  o|  |pii ccii|  |ciiooc i|  +--------+
 Narayan Jang, 1475922, Gamma Forpius,  +--------+  |o pi p o|  | iippc p|  |ppp  ii |  |opoo  c |  |iic i op|  |io  cpoo|  +--------+
 Andres Carrillo, 9079415, Octaury,  +--------+  |iooioi o|  |o pcc c |  |p  oicp |  |co p pi |  |opo oop |  |o oiicoo|  +--------+
 Robin David, 1719934, Cepus II,  +--------+  |oop iip |  |    p   |  |i    pc |  |  iopppp|  |c ocp oc|  |  c oii |  +--------+
 Janet Machado, 6738642, Berenax,  +--------+  | p ip i |  |o  io  o|  |cp ioio |  |pop  oci|  | opo pc |  |o  oocii|  +--------+
 Hans Figueroa, 3957519, Beta Tucang,  +--------+  | cic iop|  |poo o pc|  |oipcicpi|  | p i  ip|  |po   o  |  |po ccp p|  +--------+
 Chunyan Hassan, 6476954, Cani Major,  +--------+  |cpocpoic|  |i icoip |  |ooo o  i|  | o coic |  | ppocoio|  |p popci |  +--------+
 Yanping Gomes, 6163760, Beta Urater VI,  +--------+  |cipi cpi|  |ppo pip |  | ip oip |  | op iiio|  |oopoiop |  |cp c cc |  +--------+
 Dmitriy Nunez, 5987666, Alpha Dela,  +--------+  |oiiopc  |  |i ci    |  | oi   o |  | i opio |  |c  ipppi|  |io  i  p|  +--------+
 Donald You, 3349836, Cenis,  +--------+  | o  c co|  | iic c o|  |oo copii|  |pioo  ic|  | ppoipo |  | o i p i|  +--------+
 Walter Abdullah, 2325826, Gamma Pisus V,  +--------+  |  op ooc|  |o ppo  i|  |ipp oip |  |ccopccc |  | i   pc |  | piop cc|  +--------+
 Emmanuel Coulibaly, 7788412, Veleus,  +--------+  | cp i  i|  |c pooc i|  |cc oo po|  |ci pi oo|  |pipcpiio|  |pc op io|  +--------+
 Werner Omar, 6741414, Corpius Minor,  +--------+  |ccooo pi|  |  ciiiic|  |ii c pii|  | o ii i |  | i i c  |  |p oipoio|  +--------+
 Gladys Kelly, 9733331, Marius III,  +--------+  |p ic ccc|  |   cipo |  |i ococoi|  |oc cc  o|  |o o  c  |  |iioic i |  +--------+
 Jerry Nam, 2719518, Serth V,  +--------+  |o c  occ|  |ip picc |  |i occii |  |i ciococ|  |  ccpppo|  |  o     |  +--------+
 Jianxin Sharif, 4320545, Alpha Vensa IV,  +--------+  | iii ci |  |p poococ|  |ooocp pc|  |cp o oc |  |   c o i|  |po pcoii|  +--------+
 Jan Sani, 5116302, Alpha Meron VII,  +--------+  |cc c c i|  |i oiip p|  |p  ppio |  |c p ioip|  |   cc  o|  |    ip p|  +--------+
 Jianxin Choe, 7942871, Alpha Taurux,  +--------+  | opci io|  |ii p o i|  |  i   p |  |o opc  p|  |opii  p |  | poo o c|  +--------+
 Sanjay Kaur, 4488119, Gamma Taurnus,  +--------+  | iip  o |  |o cop   |  |ccpippc |  | cp  ip |  |o ooip i|  |ccicopii|  +--------+
 Isabelle Ansari, 8311776, Beta Majorn,  +--------+  |   o poo|  |pipi p  |  | o cocpi|  | occ c o|  | ioo c  |  |o  ci p |  +--------+
 Gladys More, 7503034, Cetunes,  +--------+  |ioipiio |  |ioppoooi|  |  o i ii|  | ppp c i|  |pcp  c  |  |  pc i  |  +--------+
 Artyom Rahman, 9457957, Andra III,  +--------+  | cp cic |  |     i o|  |i o c c |  |   c  c |  |c ci   p|  | p opo i|  +--------+
 Dorothy Robinson, 3346717, Ophinor,  +--------+  |  oocoi |  |c op ocp|  |po o  c |  |cpop  oc|  |p ocp  p|  |c p  op |  +--------+
 Gary Juma, 7687696, Hydron VI,  +--------+  |ppioo o |  |  opopo |  |pco iii |  |co   ipo|  |c oi pip|  |p co icp|  +--------+
 Marcin Aquino, 2935128, Aris VII,  +--------+  |cii  c p|  |icpc cp |  |poo oc  |  | c p i c|  |   pi o |  | ioioi  |  +--------+
 Nestor Pinto, 1416254, Alpha Vena Major,  +--------+  |p oc    |  | ci p p |  |  ooc c |  |  oc pco|  |iic p  c|  |c i ici |  +--------+
 Pauline Lu, 7340048, Alpha Sedanus,  +--------+  |  opooio|  |oo  cp i|  | op  o i|  |ioco  pi|  |o cpcip |  | c poc c|  +--------+
 Edwin Adam, 2726074, Gamma Forpius,  +--------+  | pcp  p |  |opo  o  |  |i c p  o|  |   o    |  |oip ipcc|  | oocoopo|  +--------+
 Alfred Fernandez, 9003633, Gamma Algo,  +--------+  |oco ip c|  |o i opco|  |o pooip |  |i     i |  |ioc  oip|  |i   i ci|  +--------+
 Benjamin Begum, 6333037, Alpha Auries,  +--------+  | o cc  i|  |pc ccopo|  |o  oc   |  |p o cpcp|  |  c   pp|  |ioioicoc|  +--------+
 Felix Paul, 4060062, Phoens,  +--------+  |cioicip |  |co  ip o|  |o piccoo|  |cci  occ|  | ci pp c|  |ippo ii |  +--------+
 Florence Borges, 7868973, Retury,  +--------+  |cc ioco |  |iio  po |  |i c  cii|  |poipo c |  |ic   oip|  |o  opoi |  +--------+
 Dipak Yakubu, 8852072, Trico,  +--------+  |  ioop  |  | pccc  c|  |picccii |  | iic  oo|  |oip cpcp|  |i pic pi|  +--------+
 Anna Jana, 3851759, Meres,  +--------+  |p p  iic|  |  c    p|  |oo p iop|  |i  i i o|  |cp c  io|  | p   p  |  +--------+
 Lucy Abdalla, 7873649, Colum,  +--------+  |  o  i  |  |c  c  op|  |icoioo  |  |p   pi o|  |i  oi op|  |cii i oi|  +--------+
 Ahmed Yusuf, 3962928, Caprina,  +--------+  |o ip i p|  |cp pc i |  | o i pcc|  |iiipoc o|  |ccip    |  |   p  po|  +--------+
 Eva Simon, 2853798, Majorn Major,  +--------+  |co pocoi|  |iopp i  |  |co cocp |  |i    oo |  |cc oiooo|  | ci c i |  +--------+
 Ruslan Sarker, 9445300, Tucang,  +--------+  | c ii oc|  |o oiciop|  |ipocpp p|  |iocoi op|  |p  ipci |  | cci poi|  +--------+
 Jianping Ibrahim, 9270108, Aurn VI,  +--------+  |co io cp|  |  ciiiop|  |oc poc  |  |pcip p c|  |c oopp c|  |   pcooi|  +--------+
 Aya Xi, 9674048, Lacorna,  +--------+  |c  pc cp|  |ic  iccc|  | op  ccc|  | ipo    |  |pic o pc|  | ppiopp |  +--------+
 Felipe Afzal, 9557551, Cetung,  +--------+  |oicooo p|  |oi   pp |  |c po pcp|  | ipipip |  |o   ooic|  |  i   io|  +--------+
 Pushpa Lara, 9019777, Beta Dela,  +--------+  |  c pi o|  | op   p |  |   pippc|  |ip op   |  |ic iccio|  |pp  coco|  +--------+
 Joe Mendes, 1907564, Gamma Cens,  +--------+  |occpppco|  | oi ippi|  |co pp oc|  |    ci p|  | i  i   |  |pip p   |  +--------+
 Eric George, 7479389, Beta Orculum,  +--------+  | c oopii|  | ioo  oc|  |i   p oo|  |i cpipic|  |oi ippop|  |cpopo p |  +--------+
 Zahra Franco, 2155433, Beta Erinus,  +--------+  |ipc  c o|  | cc ipoc|  |pc coipi|  |ci    pc|  |po      |  |po  i po|  +--------+
 Xin Hameed, 8063738, Berseus,  +--------+  |  pocop |  |cicpppoi|  | coip  i|  |io oc  i|  | ciop   |  |c    p p|  +--------+
 Ida Kouakou, 6282607, Gamma Algolum,  +--------+  |cp o    |  |o  c pp |  |p op cpp|  |ipcp  co|  |  oc po |  |co oooo |  +--------+
 Halima White, 4282175, Gamma Taurn,  +--------+  | icocc i|  |  cipp p|  |cic    c|  |o  ooop |  |  p op  |  | cccopp |  +--------+
 Manfred Sekha, 8257919, Neptor V,  +--------+  |cicoci i|  |  pp   c|  | i    oo|  |     iio|  |  o piop|  | ii c op|  +--------+
 Santos Juma, 3365982, Alpha Meron VII,  +--------+  |   i c o|  |occo  ci|  |   occpo|  | iic  co|  |i iioc i|  | pp   p |  +--------+
 Hawa Giri, 8725931, Sercula,  +--------+  |po oio p|  |poioc  c|  |o co p p|  |coioo pp|  |  ipp pi|  |p pipppi|  +--------+
 Bharat Smith, 2804866, Andraco,  +--------+  |pi c   o|  | i  ciip|  | c   ioc|  |poocp ip|  |i o ip o|  | p ppipo|  +--------+
 Mariana Alvarado, 8590277, Alpha Majoros,  +--------+  |pic cipp|  |ciic o  |  |c  iip  |  |  ic  oc|  |c  oic  |  | co p i |  +--------+
 Mariya Asif, 4384726, Canicer Major,  +--------+  |o  ococp|  | p c i  |  |   pcoci|  | i p  o |  |i  oi  c|  |ip   oop|  +--------+
 Manfred Hussein, 3137151, Herens,  +--------+  |  oi opp|  |pp i i  |  | cco  i |  |cc  cicc|  |ppo  oo |  |i pop co|  +--------+
 Haitao Lai, 1175803, Beta Deles,  +--------+  | i o co |  |  cppci |  | ippii  |  |   oo pc|  |pcioppp |  |o iocpoi|  +--------+
 Hans Andrade, 7908653, Corn Minor,  +--------+  |  c i  i|  | pp pcc |  |oio  ic |  |oio  ip |  |i ocicii|  |ccpic   |  +--------+
 Weimin Rana, 1990417, Venix,  +--------+  |oipi ipo|  |ip copco|  | pooccc |  |occo cp |  |   p   o|  | pipcpcc|  +--------+
 Rosemary Espinosa, 7930853, Sculum VI,  +--------+  |io icp o|  |c   pp c|  |pici c  |  |c i  p  |  | oociopo|  |o ppioc |  +--------+
 Bernard Shahzad, 2169281, Tuchus II,  +--------+  | poiooii|  |    i io|  |p  i  io|  |oc  op  |  | cpiopp |  |opioipio|  +--------+
 Abdul Rosa, 9766395, Ophinor,  +--------+  |   piocc|  |   c p i|  | cicicco|  | ppco  p|  | icic   |  |cp pic i|  +--------+
 Angelica Yamada, 8756796, Cralia IV,  +--------+  |c ipc cc|  |ipcpcp p|  |  opc  p|  |coc   ip|  | i ccp c|  | co  c i|  +--------+
 Hoang Guzman, 4407700, Gamma Urale,  +--------+  |ioic ppp|  |po i opo|  |oip  oi |  | cc i cp|  |   pcopi|  |cpooi co|  +--------+
 Irma Mahmud, 5031417, Sedalia II,  +--------+  |i pic i |  |opio pp |  |i i   ci|  | ipo  o |  |c c opoo|  |o oo io |  +--------+
 Karim Arif, 7936282, Erionax,  +--------+  | ppp  co|  |cpppppcc|  |   ccppi|  |cc   po |  | ipc p p|  | i  ipop|  +--------+
 Marilyn Zheng, 8237088, Dorn Major,  +--------+  |cpc cpop|  |c ocop  |  |cccco  i|  | i  oooo|  |o  c pii|  |i p  oc |  +--------+
 Piotr Williams, 2646105, Algo VII,  +--------+  |oi iccc |  |io ccipc|  |ppic   i|  | pp ip p|  |pocppcc |  |opi  ocp|  +--------+
 Gul Vasquez, 8503821, Alpha Cornus VII,  +--------+  | cpoiioc|  |o  opoic|  |  oic cp|  |oi cpppc|  |pc oop  |  |pp    op|  +--------+
 Zhen Sosa, 7476002, Aracor,  +--------+  |o  i ipp|  |  oioccc|  |  poicp |  |i  icpo |  |op  p  c|  |cpiici  |  +--------+
 Vladymyr Long, 5103631, Nephius,  +--------+  |p o p c |  |iic  coc|  |p  ioip |  |c  iiipi|  |i pp oo |  | p  p oo|  +--------+
 Habib Richard, 5522915, Maron III,  +--------+  |  i ii  |  |o ip  oo|  |oc  opi |  |pcppc cc|  |ip  cp  |  | o ioi c|  +--------+
 Carol Matsumoto, 5174052, Alpha Urseus,  +--------+  |oo  cc c|  | ipci cc|  |oci i io|  | cpp  pi|  |coipoi  |  |i ic o o|  +--------+
 Beatriz Mai, 6822406, Sateron,  +--------+  |o ipp c |  |cp oo c |  |i o   ii|  |  c ip c|  |  coo oc|  |pppo ci |  +--------+
 Sanjay Eze, 3728541, Cars,  +--------+  | o  o  c|  |  iop  i|  |o pip cc|  |c  ocioi|  |pi  ioii|  |i opiiop|  +--------+
 Jean Ashraf, 6107935, Cameda,  +--------+  |i c c p |  |i pip pi|  |co o oci|  | cooo ic|  |      i |  |iicpoc o|  +--------+
 Jonathan Shahzad, 2952756, Erinix,  +--------+  |o    poc|  | iop pc |  |ci c  o |  | cc  o o|  |pi i ip |  |   cipoo|  +--------+
 Abdel Kabir, 5128316, Alpha Comaela,  +--------+  |p cipo p|  |ioc i oc|  | oc pppc|  |pi   cpc|  |pooppo c|  |i icppco|  +--------+
 Joseph Gabriel, 8757410, Erina,  +--------+  | pcic op|  |o c ip p|  |o  i   c|  |pcc   oi|  |pc   i o|  |cpp io  |  +--------+
 Elizabeth Shen, 2260028, Beta Geminor Minor,  +--------+  |o po cpc|  | i   cio|  |oipo coi|  |ccipii i|  |c  icpo |  |i c p   |  +--------+
 John Duarte, 2841392, Return IV,  +--------+  | io io  |  |oicc c o|  |  iocpii|  |pooip  o|  |  p oci |  | poco c |  +--------+
 Elena Martinez, 5359520, Alpha Octanis,  +--------+  |i    op |  | o pici |  |p p o  p|  |cp  ipc |  | op  pi |  |picp cic|  +--------+
 Ning Gong, 3409485, Scorna,  +--------+  |ip  o   |  |oppo   p|  |p   o pc|  |io   c  |  |ppio i o|  |i   ccc |  +--------+
 Kirill Ahamed, 3486619, Canax,  +--------+  |pppi  po|  |pcpccco |  |p c  c c|  |cp ii cc|  |iocp ooi|  | c i ooi|  +--------+
 Prem Shehu, 6469399, Gamma Phoenta V,  +--------+  | ic    o|  | cpii ci|  |pi p    |  |pp co p |  |i io  p |  |c pci p |  +--------+
 Marina Reyes, 7791510, Camedna VI,  +--------+  |pc ocic |  |cipci o |  |pp oc c |  |oc cc o |  |cppii oi|  | p p co |  +--------+
 Leila Son, 6057757, Taurn VII,  +--------+  |ocpoip p|  |p i io p|  |oi i opo|  | i co   |  |p p  oi |  |oop  coo|  +--------+
 Xiaohong Varma, 2198144, Beta Apustra,  +--------+  |   c ccc|  |oiip  po|  |ii cpi p|  |i co pcp|  | ppc  op|  |ipiococi|  +--------+
 Saeed Girma, 2823720, Arale,  +--------+  | cico  c|  |  cc c  |  |   pc p |  |ic  p co|  |p ippic |  |p i iico|  +--------+
 Rita Brown, 7020073, Alpha Venicer,  +--------+  |  c oici|  |c icoop |  |pio  iip|  | io  ii |  | c  ic c|  |pco pio |  +--------+
 Christine Abu, 6447140, Alpha Hydros,  +--------+  |oc o  p |  |c icooic|  | cco ic |  |cpioio c|  | iio c i|  | po cci |  +--------+
 Mukesh Ahmad, 9718339, Gamma Phoenta V,  +--------+  |iiioico |  | p  c oc|  |ip  i  i|  |i ii ci |  |ic picco|  |pc ooo o|  +--------+
 Rita Kouame, 4215927, Beta Erinus,  +--------+  |  oco pi|  | oip   p|  | pp o ii|  |ccicpoo |  |oc oo  o|  |o p  o i|  +--------+
 Bernard Tian, 2647530, Ceptung,  +--------+  | io c   |  |pop p  o|  |ooc ic c|  |oopoo  i|  |popoo  c|  | poi p  |  +--------+
 Muhammed Zou, 6025903, Cars VI,  +--------+  |c  i p o|  |cpc cooo|  |cpp o   |  |ppc cci |  | cpioccc|  | i icppo|  +--------+
 Arturo Morris, 9747469, Scorna,  +--------+  | i  ciop|  |opo p i |  |ii oico |  |oc ioiip|  |ic iicc |  | c cii  |  +--------+
 Tadesse Salim, 3445995, Tauries VII,  +--------+  |     c  |  |oii  coi|  |ip i ipp|  |piiiocp |  |ci i  oo|  |ipoc   o|  +--------+
 Mark Miao, 2092491, Virians,  +--------+  |poo  i  |  |i pioioo|  | poooc c|  |po   io |  |ppc c cc|  |p  i    |  +--------+
 Jitendra Tahir, 7968651, Pupius,  +--------+  |   ip  i|  |oc pcoo |  | c c ooi|  |   p oi |  |cccci  i|  | i oppoo|  +--------+
 Maryam Ray, 6658346, Phoensa,  +--------+  | c  pip |  |c ioi oo|  |pccpo   |  |i  i   i|  |ioc    c|  |ii ip  o|  +--------+
 Osman Martinez, 4899408, Alpha Menix,  +--------+  | ooicioc|  |io ip   |  |ciiooi  |  |i  o c  |  |ii i ooo|  |icc     |  +--------+
 Asha Delgado, 8582743, Minoces,  +--------+  |cioocp i|  |p  pcocp|  |cccc io |  |  oopc  |  |c oc i o|  |ocp  poo|  +--------+
 Catherine Vo, 6937387, Marius IV,  +--------+  |ic occ c|  | pppcp i|  |iiccc   |  | oc i  c|  | p pipci|  |ocp poi |  +--------+
 Rodrigo Banza, 1900250, Delptus,  +--------+  |oc    cp|  |ccco po |  |iio poc |  |ipicoi  |  |c coo cc|  |o    p  |  +--------+
 Alice Mahdi, 2330756, Beta Taurn VII,  +--------+  | p  po p|  |o c iiii|  |p c iico|  | oi ioc |  | ip coci|  |pcoi i o|  +--------+
 Ryan Kouassi, 6055372, Beta Lacorna Major,  +--------+  | op oiop|  |op  iip |  | ipopc  |  | pco oo |  |iicoii  |  |o po pic|  +--------+
 Mark Akter, 6452713, Majoros,  +--------+  |cioii c |  | iiciccp|  | cpc  cp|  |icocioio|  |pipcoccp|  |pciip  p|  +--------+
 Jitendra Bera, 8757519, Alpha Menax Minor,  +--------+  |   cicp |  |p  ocpo |  |ic occpo|  |ici ooc |  |i p c cp|  | i i  p |  +--------+
 Hussein Fernando, 2829069, Phoeni V,  +--------+  |ipiicic |  |   opppc|  |ccp  pco|  |  oio  p|  |c  oio  |  |c co ppi|  +--------+
 Dan Vazquez, 8454649, Doralia,  +--------+  | ioiippc|  |cppoocc |  |coc  p o|  |cccip  p|  |ooppio  |  |oi oooo |  +--------+
 Pramila Ansari, 6682435, Alpha Majorn,  +--------+  | ipc  i |  |cc p  ci|  |coioc co|  |ooi oop |  |p ocpo  |  |op pi ic|  +--------+
 Farzana Almeida, 6107883, Alpha Trius,  +--------+  |iooi o i|  | o p ppc|  | iop  pc|  | cic c  |  |  o  po |  |c o  opp|  +--------+
 Norma Din, 3505471, Pisci II,  +--------+  |p o  ii |  |cp  ic p|  |     opc|  |ccoc  cc|  |  pc   p|  |i iococc|  +--------+
 Beatriz Taylor, 1203710, Beta Aricor,  +--------+  | o cpipi|  |pc icop |  | cc  i p|  |ci cioco|  |c cpcicp|  |    ipco|  +--------+
 Manuel Fu, 5233467, Aurus VI,  +--------+  |c iiioio|  |o p o ii|  |opiipoip|  |p ipoo i|  | o    c |  | oiop  o|  +--------+
 Xin Smith, 5802616, Cenices,  +--------+  |oc ocipp|  |c ccipc |  |c p  ci |  |  ooioio|  |o oc    |  |o ppip c|  +--------+
 Nan Akram, 2397817, Forale,  +--------+  |pp c  ic|  |iii oppp|  |ooioo pp|  |pococic |  | i p oc |  |  ioooii|  +--------+
 Louise Bera, 5896856, Hydron,  +--------+  |ooci coc|  |ii   i i|  |  cci p |  | oiici  |  |c    c  |  |  ipiipo|  +--------+
 Krishna Hnin, 2154412, Saturus V,  +--------+  |pip  pcp|  |c  i   o|  | cp ii  |  |pci i ii|  |pi cico |  |  p ppcc|  +--------+
 Konstantin Musa, 5770489, Antaury,  +--------+  | pp c pi|  |iciciic |  |ooi ipco|  | coioci |  | c oipi |  |pi cp   |  +--------+
 Lila Stewart, 6381208, Gamma Orcurus,  +--------+  | ccic  o|  |i    pip|  | p pcco |  |pppi pc |  | icppc p|  |p  cip i|  +--------+
 Tomas Huo, 8612548, Meres,  +--------+  |c iippc |  |ooo  c i|  |p ppiooo|  |iopp   c|  |o pcoc  |  |  p iccc|  +--------+
 Yingying Sahani, 8658279, Deleo,  +--------+  |cop ioic|  |oi c pp |  |pc  ip p|  | c ooic |  |occp ipi|  |cii  cc |  +--------+
 Cristian Yildirim, 7503885, Venis VII,  +--------+  |pcp oc c|  |o  i    |  |i i occc|  |o ioiiic|  |o cpipc |  |iico pc |  +--------+
 Aleksey Ahamad, 3066412, Alpha Craco,  +--------+  |p pip  p|  |c  p  oc|  |p iii  i|  |coop cp |  | i cc o |  |  o o i |  +--------+
 Betty Kazem, 1166916, Vens Major,  +--------+  |op co o |  |opci  oi|  |oopc opp|  |   oci o|  |o  ppo  |  |p oi o i|  +--------+
 Kai Lee, 6489713, Tucanus VII,  +--------+  |ciippicc|  |opccci  |  |icoc ooi|  |ci  i  o|  | p  pc  |  | cicc o |  +--------+
 Lei Raza, 7532888, Leon Major,  +--------+  |o po coo|  |picci oi|  |o p iipo|  |o i  o p|  |  ioocp |  |  ioccii|  +--------+
 Tomas Ngoy, 3461668, Aquules,  +--------+  |ociooi  |  | i pp p |  |ii  op  |  |p pi cpc|  |ic  pcic|  |     c c|  +--------+
 Pierre Hou, 9674900, Beres Minor,  +--------+  | oc   oo|  |ooiic p |  |poi ooii|  |c i i i |  | i   cic|  |  o cioo|  +--------+
 Kenneth Cabrera, 9746802, Deleo,  +--------+  | ocp i i|  |i  i  o |  |pc  oo i|  |oi oop i|  |icpipc  |  |ccoocci |  +--------+
 Nan Gabriel, 5850297, Ventana,  +--------+  | iiopc p|  |  cpcoop|  |  co  ic|  |i  p opc|  |o i o ci|  |ccppiioc|  +--------+
 Kamla Kadam, 6632882, Alpha Araces,  +--------+  |ppoo  pp|  |o  oii  |  |  o  o p|  | cpo   i|  | p o oc |  | ooco i |  +--------+
 Charlotte Thomas, 8574147, Aris IV,  +--------+  | oioc i |  |ooo pi c|  |c  c cco|  |pcio i o|  |   cc o |  |oipp oip|  +--------+
 Haiyan Chaudhari, 5959217, Beta Earsa,  +--------+  |co  io p|  | o ccioo|  |p ioc  c|  | o coioo|  | ip iio |  |i   c c |  +--------+
 Jaime Diop, 4889452, Equila VI,  +--------+  |pi ococi|  | ociic i|  |ci o   p|  |cp o ip |  | ppp p c|  |p c ioip|  +--------+
 Herbert Smith, 6785530, Gamma Sextana,  +--------+  | coc  i |  |co c  cp|  |ppicoo  |  | pppiop |  |   i pco|  |cp p p i|  +--------+
 Walter Sulaiman, 2990690, Cenicus VII,  +--------+  |cpp p  o|  | i p  p |  |  oiic  |  |pi ii  c|  |pip  ppp|  |ooi i ii|  +--------+
 Elsa Tudu, 4535182, Plumba III,  +--------+  |pi  p io|  |   cp  o|  | cipi po|  |ppipcpco|  |  io  ip|  | pip  pp|  +--------+
 Nancy Andrade, 5327380, Gamma Dracor,  +--------+  |ocppcpop|  |ioipic  |  |ocoicp  |  |io oooi |  |o po pco|  |pcooo oi|  +--------+
 Rakesh Pathan, 8534422, Octane VI,  +--------+  |icc ccpc|  |cioco  o|  |pp opi o|  |o  o   i|  |i ccpcoo|  |o ioi c |  +--------+
 Giovanni Ghulam, 7869174, Pisci,  +--------+  |pccp  o |  |   p o p|  |pcpi   p|  |    ocp |  |   i o i|  |o oooop |  +--------+
 Kavita Ghulam, 6207639, Orculeo,  +--------+  |pc  oc i|  |iico pi |  |oio  oo |  |ooipoipc|  |cpp poc |  |i c   po|  +--------+
 Margarita Ponce, 8503463, Minoces VII,  +--------+  |oc  c op|  |cipi p  |  |    p i |  |co piioi|  |ci icpc |  |ccoiio c|  +--------+
 Samir Lawal, 8244492, Scorvus,  +--------+  | ipp ici|  |c   ccop|  |cpc p c |  |iop   oi|  |  o ppoi|  |ccc p co|  +--------+
 Lawrence Pathan, 7421029, Alpha Crus Minor,  +--------+  |c o opcp|  |ic opo  |  |i c c  p|  |    ci  |  |ioc   op|  | iop cio|  +--------+
 Raul Garcia, 5080363, Casunes,  +--------+  |pc  coci|  |pi ci c |  |cccip pc|  |c icic  |  | c c  o |  |ip cc ip|  +--------+
 Liying Abubakar, 2713055, Boroma,  +--------+  |i po  ci|  |ccccoc p|  |    coc |  |oic ippo|  | oc c   |  | c  io o|  +--------+
 Bernard Xiong, 4698205, Gamma Algolum,  +--------+  |o p ipic|  | c i o  |  |c c ii c|  | cc pppo|  |cc p  co|  | oc oo p|  +--------+
 Xiaoping Mahmoud, 8158877, Carda III,  +--------+  |o io   o|  |i c ooco|  |ci cpo  |  |       o|  |  pcipc |  |p ci ipc|  +--------+
 Naresh Bravo, 7894371, Phoens II,  +--------+  |o p cipo|  |o opii  |  |  oipio |  | pii   c|  |    i oc|  |  c i   |  +--------+
 Ahmed Ouedraogo, 2826615, Jisus,  +--------+  |cc opi  |  |ic    pc|  |i c opoc|  |p c    i|  |pop coc |  | pc p  i|  +--------+
 Fatoumata Quan, 5661743, Oricis,  +--------+  |piiipco |  |pic c oo|  |p occ   |  |c  o iii|  | oicoci |  |i iciooo|  +--------+
 Isaac Saleem, 1341581, Cerseus Major,  +--------+  |c cicioc|  |iip  c  |  |ocp   co|  |i  ipoo |  |cp   op |  | pi coco|  +--------+
 Mohsen Wati, 2004605, Gamma Austra,  +--------+  |i oco oc|  |icpcpi  |  |cppo  o |  | pc  p c|  |c p   cp|  | picp oo|  +--------+
 Sultan Ramos, 4725649, Alpha Sers II,  +--------+  |p o ic  |  |ooo o o |  |iipi  oi|  |    p cc|  | p pic o|  |ic     i|  +--------+
